,address,value
184,lat1khdqnn0m9tyddppt0894kx8kss292y88rz4gah,2500000.0000000005
185,lat1kzpnef5t4pq6mn2r5gufm45t5xxqh8cgqgd4dw,2500000.0000000005
186,lat1n3qxtasdetkhyxrfjya9qlwvrlm3vp9t7t95wj,2500000.0000000005
187,lat1n6s6e26jlycrcd0fc4y5k9nlsx6mvhzelugtyn,2500000.0000000005
188,lat1tdxvh2kcsk68ztulucsw4cqqrkggx0k5r0yfw4,2500000.0000000005
189,lat1wqq9qmdf226lnujt2rxathh73g50er46nps8g4,2495809.9998740004
190,lat1npgm08rapk5f9nams75jmjs0lcrvkzywhxcgav,1306.9280668145818
191,lat184jkecxgp7xxf8ee7c2057dj69aec8kpq6em6w,4642.448522457264
192,lat19v20g40tkyzzjuu0ln9a73wfs9d7k3e805d2t4,2307798.5446958723
193,lat1h80q3a4egvm60lpkv2p7xc2f7m06yrzljp4unq,2525.9516928114613
194,lat1n69twmtgv5jptz850a3txwh4drsjr3gy3f248c,0.9976836800000001
195,lat1lkcecyvljrsj5ydetcmkv8gnh0qr6jurvq22jx,0.09955608
196,lat1f83wvmnuuu4sxw5tcy5qay9uh0krhsyl96nq95,231.05245866690117
197,lat1sknm8lehuefja0qpqnk6dsg3uhllhstdxqj88s,0.10004852919814071
198,lat1rcxkx9zxgtlza7sq0p56zylu8aecf6llnfzcv0,17.549569789942858
199,lat1zqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqxlcypcy,1750840.2625183607
200,lat15sdd0qsdrcdspc8t6zjemn9r90glylucfy3q7u,9221.249368931221
201,lat18mmtgxtrktkv4626nu7z9lktsr3u0ntrp5xz85,0.9985302800000001
202,lat10525ruzz2jqsq799m93ths58j2zgqgq4nfacwr,210.12551655532155
203,lat1ce46p56yx50ezvr6fslzc86k853dry0ghl3gdy,1.8304951063560921
204,lat15s9tqmlu9as2vcn0ctpsfkhw9u328ywk4yn403,0.65966544
205,lat1sy6kxgpfgx7axrl86a368mj6r6fnagctqem69g,1540845.5911868715
206,lat1atyajj6n04arpwf2ef43h0awqz8k84j6yej20a,0.49658298802689604
207,lat1dp26hhmte5l0dmqrenxs2kx5utg33z8nw4ylny,10.001567521290214
208,lat1zlcmrgy7clg5gq3lre6kch8lztetuxhvxhc0p6,5.823476199914869
209,lat1walq49xmgr3lpuqj2kzf7lz9qngkkzfgedag7v,0.9982255200000001
210,lat10vvkrmgn5dxdt83ypnyaqmyu4jc59p40pj03kw,0.01829
211,lat15l7cn29cpk4zpx6rpyrnlcducyn22jfzasfs83,9.99857257
212,lat1zul5ane9f57fvxvge57tmxf9sld25s5x6fnvgn,0.9981658000000001
213,lat1hshlcuwfgatdu0txlnjlcynntewzqvhmyknqm3,0.32873209238580875
214,lat1mdyzlr2egq7d33cv23fph28sqeaka76p5tyhpz,1282694.99958
215,lat1j6u0d8rdza872jwwm09dmcfl5wsrt2mgktgpyh,1275583.2231566901
216,lat1smuv9a2uqgfccdtkrz2jvw6wng33t4lghm33q3,1.9970178
217,lat1sun5y5ft3dgdkscynz2w3gjmkr6x0deca6s9dr,3.09120309
218,lat1tyvx9xjsa8er0d3kxwhsr0jz9ddcvaqjv038hu,0.10004824383772318
219,lat17hv06cmsmwvuct6ym48dtjvl2l0vfe4n4ywptz,1130.0518020249585
220,lat1v0zcfh034swkqt8d2xq80905pxnedwcjkjhfvf,3261.220701923452
221,lat1dpx3lmduxev0dtcgk2ckrlgc7cgha8wnqyhvm8,1014.7959319041041
222,lat1486cwgr2xkzyy2pknr3kq9pdrj3ku8c8kwfzqk,0.2787223369075925
223,lat1twj2uy0p97dzadukksyu4nypnl7tufltrlxl92,0.10004824217992432
224,lat1fpccktpn37a94rdj9yxszxp7pt3kae05j6lr9l,10.0
225,lat1nff7hf6mmeffusu99ehfpx5s20ch2yxp3fj7ys,0.7497208907939003
226,lat15uj2u9q0grfmvavjzr2m7astndggczadjwa2fs,0.099604565349244
227,lat1whfmcpmggwq2nxgxea55vajtxe94wfjwcffnvg,2601.188091892059
228,lat1trclux79dyr6hae880q85a0apu6hnze0ygf8ps,0.10004824041999974
229,lat10lxn2v98x9rwgcl6c3766my2394ntkl37vpy85,250000.42670245003
230,lat1w055xmtmtdakc5r63zj82dglajayukzz3tgdv4,250000.42670245003
231,lat16tjkjd2h3lh49pfgsvl4jpxevh35z8f6nqa4xf,7.949287577000001e-09
232,lat1tlv2th4kvq06pnwgu4e4gg06rg9557pt9fttgr,0.8363210378086443
233,lat1klj0yux709ave4zd8khk7n8wxecgycd33ckx4a,0.40865880592672543
234,lat1fxz2zdnu52cnu54hje528gvhyked65nczvv5ar,0.4029127104484585
235,lat19kywdqt6r96gdy6z9yhr2dpvfzjp22dv7403td,0.10004824000000001
236,lat133j3v773te5dd2da0she6mzf5pqlzs0cf55tc2,6.820252809869149
237,lat19v9xda062x3gpuhgrvptpptj7eqdz407lrhsnp,0.10004824011718612
238,lat1xsf5asl854cpajps6tr0znfwpa8k56shudx3jw,200000.42649245
239,lat15karxas05fa2r98p90ujd3swwe90tljt6eylhq,0.10044782330548972
240,lat1gqxgfymryl5vehy2026p6m00qun09fqhvqkfj6,0.0
241,lat1suhlkjxljkcapk96w9dqjhgym86c2e9ylpr3eg,3.100048483181858
242,lat1vfk94nl4q4fgcurg4r59grmvxqmxem4hrfmeyg,0.09960456449246255
243,lat14dap4c3l357uvh7qtpvavm0rnexdpazlwvwzjd,3366.0817016990763
244,lat1tzvdlcnxpqygmzdxk7cedvzyglelt4x4fher6h,0.6715713385820966
245,lat1mnccmywwaxz5psv0jymj2qayaecvrs8twf60ve,0.1000484069729331
246,lat17famc7r4uxxz55gp9kgfq236784ju6au7ll955,0.9484201321808807
247,lat15n5g8nr3zvg2czzp36wtxwpgk35aa322flsxt3,372.66220125714574
248,lat1333l3tc2nakgqwmhllqg4tz4z6lnrrhxg8pmtg,10.10004836255799
249,lat1cxrz6wasmmwchzpzwucs62mu502hp6yphkhghj,1058.6133173763708
250,lat173xehsa2lpz4ap9l96d7g585d27aaldmpxe057,125000.42628245
251,lat1cwks64wspzxh2nhyycfe2357a0p8rf8g8hu524,0.22613926124861955
252,lat142fnxfd8jn7gn58l6jquqn0s4dr8hresz8nk4z,0.10004824048385545
253,lat1hkdfp45qqa7pu9xhy7ln8s2hhm6fk5cdermnm7,64215.866669781106
254,lat1g75evrrnfmqy7gt3jn50033ec5ra30wljp2yjh,0.8270054499068265
255,lat1kwx3n55rsmftpwq87wxwqqgvq7t5u588kuwmxd,99.89869936190365
256,lat1sl5j8rk6hznx3evd9ukcwcxhdvlvpqfdq5hrun,0.10004840710554934
257,lat165f3teafqz4gsz4qx6pe2d4szdwu9pqz73xr6f,5000.745333951439
258,lat1mkz07k9570e4sg6w0f2e0ls38tcjqva3pyv4dy,38147.56594920376
259,lat1e0xed8glrllm0ayv9s2wqsv4ag8xyquvx678qa,0.10004840700965051
260,lat1chxz48rrp9emzn8julzqdut998p53m2nkxuf9x,1750.588853424355
261,lat18ec48ny7a6kdjc5p2hyvcccdlcy8qenpvtyret,0.10004852012753
262,lat1nl4dfzk037ytv9j3dz3ztfd3vzw608wl3hmlw3,0.42413517
263,lat1zggwmqmqwszxn7wgj2n3dfl3uzcgrm7mpzex09,305.4707490966566
264,lat178rp7suc7yhm68nm29ax5nv662za4lufn2rd6c,0.10004852223762367
265,lat1jn6ym8rrcda40feuu9z5jxuz9dvytglwgy79z7,390.7073833247886
266,lat1u9t79thksv9asjtqqzsa85y9x5ufwc9njg9zxp,8986.013772022756
267,lat1wfvs4wngsccjgtxt9339tlaalpx766x75tt7fe,0.10004840585317726
268,lat19j6v3z5gmtqj4gqjkseykc2gqhywrrq28hwnff,0.6232620673846485
269,lat10hrtw2rlnhnakv2cuxwveppmneecpuex0733c9,0.10004840817770055
270,lat1nvg48nammgwheca0l0r4c38g6ey0r59g86afek,0.34247135506559034
271,lat1d0p42wxpdu7rt9g6pxcdqv9hs5tv6ce0vyjy0s,1255.2527793226927
272,lat10nsq6w6se47mnas7nscvug7fnc63ecnqs3wpe2,5860.620954575871
273,lat1qavdn78928v4472rtjsut6uwl0wtv3h2ejgh2m,645.1619265399171
274,lat13pjkm95sppukph2jl6ymqte6g5w0t4nycekz7n,4719.906399252639
275,lat16h3xgqn5pa7fwtkalufmferepfupwcuaw5th6p,4719.906399252639
